State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Alabama,DeKalb,1,49,1/1/21,30,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/2/21,27,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/3/21,34,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/4/21,36,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/5/21,31,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/6/21,27,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/7/21,29,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/8/21,22,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/9/21,26,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/10/21,25,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/11/21,24,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/12/21,21,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/13/21,23,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/14/21,40,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/15/21,35,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/16/21,29,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/17/21,34,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/18/21,35,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/19/21,33,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/20/21,32,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/21/21,22,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/22/21,30,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/23/21,36,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/24/21,32,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/25/21,22,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/26/21,35,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/27/21,25,Good,Ozone,01-049-9991,1
Alabama,DeKalb,1,49,1/28/21,35,Good,Ozone,01-049-9991,1
