Report Date,County,Place of Fatality,Deaths by County of Residence
1/1/21,Albany,305,208
1/1/21,Allegany,54,73
1/1/21,Bronx,3241,3548
1/1/21,Broome,228,208
1/1/21,Cattaraugus,40,44
1/1/21,Cayuga,19,25
1/1/21,Chautauqua,26,23
1/1/21,Chemung,119,97
1/1/21,Chenango,13,21
1/1/21,Clinton,10,8
1/1/21,Columbia,57,60
1/1/21,Cortland,35,36
1/1/21,Delaware,4,11
1/1/21,Dutchess,251,240
1/1/21,Erie,1298,1219
1/1/21,Essex,13,16
1/1/21,Franklin,8,9
1/1/21,Fulton,25,36
1/1/21,Genesee,48,54
1/1/21,Greene,8,25
1/1/21,Hamilton,0,1
1/1/21,Herkimer,14,28
1/1/21,Jefferson,9,10
1/1/21,Kings,4888,5438
1/1/21,Lewis,4,15
1/1/21,Livingston,14,25
1/1/21,Madison,63,66
1/1/21,Manhattan,3650,2260
1/1/21,Monroe,654,587
1/1/21,Montgomery,43,47
1/1/21,Nassau,2950,2409
1/1/21,Niagara,134,185
1/1/21,Non-NYS,0,155
1/1/21,Oneida,253,255
1/1/21,Onondaga,473,434
1/1/21,Ontario,78,65
1/1/21,Orange,531,515
1/1/21,Orleans,42,64
1/1/21,Oswego,35,41
1/1/21,Otsego,18,16
1/1/21,Putnam,66,67
1/1/21,Queens,4341,5397
1/1/21,Rensselaer,73,83
1/1/21,Richmond,895,896
1/1/21,Rockland,549,589
1/1/21,Saratoga,27,44
1/1/21,Schenectady,83,87
1/1/21,Schoharie,0,5
1/1/21,Schuyler,4,10
1/1/21,Seneca,24,36
1/1/21,St. Lawrence,44,45
1/1/21,Statewide Total,30337,30337
1/1/21,Steuben,107,120
1/1/21,Suffolk,2374,2328
1/1/21,Sullivan,35,40
1/1/21,Tioga,39,54
1/1/21,Tompkins,18,15
1/1/21,Ulster,87,145
1/1/21,Warren,37,32
1/1/21,Washington,11,16
1/1/21,Wayne,21,39
1/1/21,Westchester,1822,1677
1/1/21,Wyoming,18,24
1/1/21,Yates,7,11
1/2/21,Albany,309,212
1/2/21,Allegany,54,73
1/2/21,Bronx,3248,3556
1/2/21,Broome,230,210
1/2/21,Cattaraugus,41,45
1/2/21,Cayuga,21,27
1/2/21,Chautauqua,28,25
1/2/21,Chemung,122,97
1/2/21,Chenango,15,23
1/2/21,Clinton,10,8
1/2/21,Columbia,58,61
1/2/21,Cortland,36,38
1/2/21,Delaware,4,12
1/2/21,Dutchess,254,243
1/2/21,Erie,1309,1229
1/2/21,Essex,13,16
1/2/21,Franklin,8,9
1/2/21,Fulton,26,37
1/2/21,Genesee,50,56
1/2/21,Greene,10,27
1/2/21,Hamilton,0,1
1/2/21,Herkimer,14,30
1/2/21,Jefferson,10,11
1/2/21,Kings,4900,5451
1/2/21,Lewis,4,15
1/2/21,Livingston,14,25
1/2/21,Madison,64,68
1/2/21,Manhattan,3653,2262
1/2/21,Monroe,663,593
1/2/21,Montgomery,47,51
1/2/21,Nassau,2961,2420
1/2/21,Niagara,136,188
1/2/21,Non-NYS,0,155
1/2/21,Oneida,260,260
1/2/21,Onondaga,480,439
1/2/21,Ontario,78,66
1/2/21,Orange,534,518
1/2/21,Orleans,42,64
1/2/21,Oswego,36,42
1/2/21,Otsego,19,16
1/2/21,Putnam,66,67
1/2/21,Queens,4345,5400
1/2/21,Rensselaer,75,85
1/2/21,Richmond,894,895
1/2/21,Rockland,551,591
1/2/21,Saratoga,31,48
1/2/21,Schenectady,84,88
1/2/21,Schoharie,0,5
1/2/21,Schuyler,4,10
1/2/21,Seneca,24,36
1/2/21,St. Lawrence,44,45
1/2/21,Statewide Total,30476,30476
1/2/21,Steuben,107,124
1/2/21,Suffolk,2387,2341
1/2/21,Sullivan,36,41
1/2/21,Tioga,39,54
1/2/21,Tompkins,18,15
1/2/21,Ulster,88,146
1/2/21,Warren,37,32
1/2/21,Washington,11,16
1/2/21,Wayne,22,41
1/2/21,Westchester,1826,1681
1/2/21,Wyoming,19,25
1/2/21,Yates,7,11
1/3/21,Albany,313,215
1/3/21,Allegany,54,74
1/3/21,Bronx,3258,3567
1/3/21,Broome,233,213
1/3/21,Cattaraugus,41,45
1/3/21,Cayuga,23,30
1/3/21,Chautauqua,28,25
1/3/21,Chemung,123,99
1/3/21,Chenango,16,24
1/3/21,Clinton,10,8
1/3/21,Columbia,58,61
1/3/21,Cortland,38,39
1/3/21,Delaware,4,12
1/3/21,Dutchess,260,250
1/3/21,Erie,1322,1240
1/3/21,Essex,13,16
1/3/21,Franklin,8,9
1/3/21,Fulton,27,38
1/3/21,Genesee,51,57
1/3/21,Greene,12,29
1/3/21,Hamilton,0,1
1/3/21,Herkimer,14,30
1/3/21,Jefferson,11,12
1/3/21,Kings,4914,5467
1/3/21,Lewis,6,17
1/3/21,Livingston,14,26
1/3/21,Madison,64,69
1/3/21,Manhattan,3662,2266
1/3/21,Monroe,677,603
1/3/21,Montgomery,49,53
1/3/21,Nassau,2971,2428
1/3/21,Niagara,137,190
1/3/21,Non-NYS,0,156
1/3/21,Oneida,268,268
1/3/21,Onondaga,489,448
1/3/21,Ontario,78,67
1/3/21,Orange,538,521
1/3/21,Orleans,42,64
1/3/21,Oswego,38,44
1/3/21,Otsego,19,16
1/3/21,Putnam,66,67
1/3/21,Queens,4354,5409
1/3/21,Rensselaer,75,86
1/3/21,Richmond,899,900
1/3/21,Rockland,554,595
1/3/21,Saratoga,31,48
1/3/21,Schenectady,87,91
1/3/21,Schoharie,0,5
1/3/21,Schuyler,4,10
1/3/21,Seneca,24,36
1/3/21,St. Lawrence,45,46
1/3/21,Statewide Total,30648,30648
1/3/21,Steuben,109,125
1/3/21,Suffolk,2406,2361
1/3/21,Sullivan,37,42
1/3/21,Tioga,39,54
1/3/21,Tompkins,18,15
1/3/21,Ulster,90,149
1/3/21,Warren,37,32
1/3/21,Washington,11,16
1/3/21,Wayne,23,42
1/3/21,Westchester,1828,1683
1/3/21,Wyoming,20,26
1/3/21,Yates,8,13
1/4/21,Albany,316,216
1/4/21,Allegany,54,75
1/4/21,Bronx,3261,3571
1/4/21,Broome,235,215
1/4/21,Cattaraugus,43,47
1/4/21,Cayuga,23,31
1/4/21,Chautauqua,30,27
