county,date,aqi,pollutant,number_of_sites_reporting
Albany,2020-01-01,17,PM2.5,2
Albany,2020-01-02,38,PM2.5,2
Albany,2020-01-03,54,PM2.5,2
Albany,2020-01-04,53,PM2.5,2
Albany,2020-01-05,12,PM2.5,2
Albany,2020-01-06,29,PM2.5,2
Albany,2020-01-07,29,PM2.5,2
Albany,2020-01-08,31,PM2.5,2
Albany,2020-01-09,16,PM2.5,2
Albany,2020-01-10,31,PM2.5,2
Albany,2020-01-11,35,PM2.5,2
Albany,2020-01-12,17,PM2.5,2
Albany,2020-01-13,31,PM2.5,2
Albany,2020-01-14,53,PM2.5,2
Albany,2020-01-15,45,PM2.5,2
Albany,2020-01-16,26,PM2.5,2
Albany,2020-01-17,17,PM2.5,2
Albany,2020-01-18,24,PM2.5,2
Albany,2020-01-19,33,PM2.5,2
Albany,2020-01-20,15,PM2.5,2
Albany,2020-01-21,45,PM2.5,2
Albany,2020-01-22,56,PM2.5,2
Albany,2020-01-23,72,PM2.5,2
Albany,2020-01-25,67,PM2.5,2
Albany,2020-01-26,24,PM2.5,2
Albany,2020-01-27,20,PM2.5,2
Albany,2020-01-28,10,PM2.5,2
Albany,2020-01-29,13,PM2.5,2
Albany,2020-01-30,37,PM2.5,2
Albany,2020-01-31,59,PM2.5,2
Albany,2020-02-01,18,Ozone,1
Albany,2020-02-02,27,Ozone,1
Albany,2020-02-03,42,PM2.5,2
Albany,2020-02-04,29,Ozone,1
Albany,2020-02-05,31,Ozone,2
Albany,2020-02-06,39,PM2.5,2
Albany,2020-02-07,31,Ozone,2
Albany,2020-02-08,33,Ozone,2
Albany,2020-02-09,53,PM2.5,2
Albany,2020-02-10,47,PM2.5,2
Albany,2020-02-11,61,PM2.5,2
Albany,2020-02-12,34,PM2.5,2
Albany,2020-02-13,44,PM2.5,2
Albany,2020-02-14,31,Ozone,2
Albany,2020-02-15,31,Ozone,2
Albany,2020-02-16,43,PM2.5,2
Albany,2020-02-17,46,PM2.5,2
Albany,2020-02-18,35,PM2.5,2
Albany,2020-02-19,37,Ozone,2
Albany,2020-02-20,36,Ozone,2
Albany,2020-02-21,37,Ozone,2
Albany,2020-02-22,51,PM2.5,2
Albany,2020-02-23,61,PM2.5,2
Albany,2020-02-24,55,PM2.5,2
Albany,2020-02-25,68,PM2.5,2
Albany,2020-02-26,63,PM2.5,2
Albany,2020-02-27,36,Ozone,2
Albany,2020-02-28,36,Ozone,2
Albany,2020-02-29,32,Ozone,2
Albany,2020-03-01,38,Ozone,2
Albany,2020-03-02,42,PM2.5,2
Albany,2020-03-03,55,PM2.5,2
Albany,2020-03-04,36,Ozone,2
Albany,2020-03-05,34,Ozone,2
Albany,2020-03-06,40,PM2.5,2
Albany,2020-03-07,39,Ozone,2
Albany,2020-03-08,39,Ozone,2
Albany,2020-03-09,44,Ozone,2
Albany,2020-03-10,37,Ozone,2
Albany,2020-03-11,34,Ozone,2
Albany,2020-03-12,33,Ozone,2
Albany,2020-03-13,35,Ozone,2
Albany,2020-03-14,35,Ozone,2
Albany,2020-03-15,40,Ozone,2
Albany,2020-03-16,38,Ozone,2
Albany,2020-03-17,32,Ozone,2
Albany,2020-03-18,41,Ozone,2
Albany,2020-03-19,33,Ozone,2
Albany,2020-03-20,31,Ozone,2
Albany,2020-03-21,37,Ozone,2
Albany,2020-03-22,36,Ozone,2
Albany,2020-03-23,34,Ozone,2
Albany,2020-03-24,32,Ozone,2
Albany,2020-03-25,45,PM2.5,2
Albany,2020-03-26,41,Ozone,2
Albany,2020-03-27,34,Ozone,2
Albany,2020-03-28,37,PM2.5,2
Albany,2020-03-29,39,Ozone,2
Albany,2020-03-30,31,Ozone,2
Albany,2020-03-31,34,Ozone,2
Albany,2020-04-01,42,Ozone,2
Albany,2020-04-02,35,Ozone,2
Albany,2020-04-03,31,Ozone,2
Albany,2020-04-04,38,Ozone,2
Albany,2020-04-05,34,Ozone,2
Albany,2020-04-06,39,Ozone,2
Albany,2020-04-07,46,Ozone,2
Albany,2020-04-08,40,Ozone,2
Albany,2020-04-09,39,Ozone,2
Albany,2020-04-10,32,Ozone,2
Albany,2020-04-11,41,Ozone,2
Albany,2020-04-12,44,Ozone,2
Albany,2020-04-13,42,Ozone,2
Albany,2020-04-14,41,Ozone,2
Albany,2020-04-15,40,Ozone,2
Albany,2020-04-16,36,Ozone,2
Albany,2020-04-17,42,Ozone,2
Albany,2020-04-18,40,Ozone,2
Albany,2020-04-19,46,Ozone,2
Albany,2020-04-20,41,Ozone,2
Albany,2020-04-21,37,Ozone,2
Albany,2020-04-22,43,Ozone,2
Albany,2020-04-23,43,Ozone,2
Albany,2020-04-24,35,Ozone,2
Albany,2020-04-25,47,Ozone,2
Albany,2020-04-26,39,Ozone,2
Albany,2020-04-27,35,Ozone,2
Albany,2020-04-28,39,Ozone,2
Albany,2020-04-29,40,Ozone,2
Albany,2020-04-30,36,Ozone,2
Albany,2020-05-01,32,Ozone,2
Albany,2020-05-02,40,Ozone,2
Albany,2020-05-03,47,Ozone,2
Albany,2020-05-04,35,Ozone,2
Albany,2020-05-05,34,Ozone,2
