county,aqi,pollutant,number_of_sites_reporting,date
Albany,36,PM2.5,2,2021-01-01
Albany,28,Ozone,2,2021-01-02
Albany,38,PM2.5,2,2021-01-03
Albany,56,PM2.5,2,2021-01-04
Albany,39,PM2.5,2,2021-01-05
Albany,27,PM2.5,2,2021-01-06
Albany,30,Ozone,2,2021-01-07
Albany,26,Ozone,2,2021-01-08
Albany,32,Ozone,2,2021-01-09
Albany,29,Ozone,2,2021-01-10
Albany,57,PM2.5,2,2021-01-11
Albany,74,PM2.5,2,2021-01-12
Albany,75,PM2.5,2,2021-01-13
Albany,86,PM2.5,2,2021-01-14
Albany,82,PM2.5,2,2021-01-15
Albany,29,Ozone,2,2021-01-16
Albany,35,PM2.5,2,2021-01-17
Albany,29,Ozone,2,2021-01-18
Albany,26,PM2.5,2,2021-01-19
Albany,33,Ozone,2,2021-01-20
Albany,33,PM2.5,2,2021-01-21
Albany,39,PM2.5,2,2021-01-22
Albany,32,Ozone,2,2021-01-23
Albany,35,Ozone,2,2021-01-24
Albany,39,PM2.5,2,2021-01-25
Albany,53,PM2.5,2,2021-01-26
Albany,52,PM2.5,2,2021-01-27
Albany,32,Ozone,2,2021-01-28
Albany,31,Ozone,2,2021-01-29
Albany,35,Ozone,2,2021-01-30
Albany,39,PM2.5,2,2021-01-31
Albany,38,PM2.5,2,2021-02-01
Albany,32,Ozone,1,2021-02-02
Albany,35,Ozone,2,2021-02-03
Albany,39,Ozone,2,2021-02-04
Albany,43,PM2.5,2,2021-02-05
Albany,38,Ozone,2,2021-02-06
Albany,46,PM2.5,2,2021-02-07
Albany,34,Ozone,2,2021-02-08
Albany,65,PM2.5,2,2021-02-09
Albany,43,PM2.5,2,2021-02-10
Albany,38,PM2.5,2,2021-02-11
Albany,35,PM2.5,2,2021-02-12
Albany,36,Ozone,2,2021-02-13
Albany,40,PM2.5,2,2021-02-14
Albany,56,PM2.5,2,2021-02-15
Albany,42,PM2.5,2,2021-02-16
Albany,34,Ozone,2,2021-02-17
Albany,32,Ozone,2,2021-02-18
Albany,44,PM2.5,2,2021-02-19
Albany,40,Ozone,2,2021-02-20
Albany,38,Ozone,2,2021-02-21
Albany,44,PM2.5,2,2021-02-22
Albany,48,PM2.5,2,2021-02-23
Albany,41,Ozone,2,2021-02-24
Albany,39,Ozone,2,2021-02-25
Albany,37,Ozone,2,2021-02-26
Albany,39,Ozone,2,2021-02-27
Albany,54,PM2.5,2,2021-02-28
Albany,36,Ozone,2,2021-03-01
Albany,39,Ozone,2,2021-03-02
Albany,45,PM2.5,2,2021-03-03
Albany,39,Ozone,2,2021-03-04
Albany,40,Ozone,2,2021-03-05
Albany,35,Ozone,2,2021-03-06
Albany,38,Ozone,2,2021-03-07
Albany,43,Ozone,2,2021-03-08
Albany,43,PM2.5,2,2021-03-09
Albany,49,PM2.5,2,2021-03-10
Albany,64,PM2.5,2,2021-03-11
Albany,41,Ozone,2,2021-03-12
Albany,38,Ozone,2,2021-03-13
Albany,40,Ozone,2,2021-03-14
Albany,39,Ozone,2,2021-03-15
Albany,30,Ozone,2,2021-03-16
Albany,57,PM2.5,2,2021-03-17
Albany,55,PM2.5,2,2021-03-18
Albany,37,Ozone,2,2021-03-19
Albany,41,Ozone,2,2021-03-20
Albany,44,Ozone,2,2021-03-21
Albany,48,Ozone,2,2021-03-22
Albany,46,Ozone,2,2021-03-23
Albany,33,Ozone,2,2021-03-24
Albany,34,Ozone,2,2021-03-25
Albany,33,Ozone,2,2021-03-26
Albany,31,Ozone,2,2021-03-27
Albany,33,Ozone,2,2021-03-28
Albany,37,Ozone,2,2021-03-29
Albany,44,Ozone,2,2021-03-30
Albany,35,Ozone,2,2021-03-31
Bronx,41,PM2.5,4,2021-01-01
Bronx,33,PM2.5,4,2021-01-02
Bronx,41,PM2.5,4,2021-01-03
Bronx,36,PM2.5,4,2021-01-04
Bronx,38,PM2.5,4,2021-01-05
Bronx,37,PM2.5,4,2021-01-06
Bronx,30,PM2.5,4,2021-01-07
Bronx,31,PM2.5,4,2021-01-08
Bronx,32,PM2.5,4,2021-01-09
Bronx,40,PM2.5,4,2021-01-10
Bronx,59,PM2.5,4,2021-01-11
Bronx,79,PM2.5,4,2021-01-12
Bronx,77,PM2.5,4,2021-01-13
Bronx,79,PM2.5,4,2021-01-14
Bronx,69,PM2.5,4,2021-01-15
Bronx,25,Ozone,4,2021-01-16
Bronx,43,PM2.5,4,2021-01-17
Bronx,37,PM2.5,4,2021-01-18
Bronx,43,PM2.5,4,2021-01-19
Bronx,45,PM2.5,4,2021-01-21
Bronx,38,PM2.5,4,2021-01-22
Bronx,29,Ozone,4,2021-01-23
Bronx,32,Ozone,4,2021-01-24
Bronx,34,PM2.5,4,2021-01-26
Bronx,47,PM2.5,4,2021-01-27
Bronx,31,Ozone,4,2021-01-28
Bronx,49,PM2.5,4,2021-01-29
Bronx,41,PM2.5,3,2021-01-30
Bronx,30,PM2.5,3,2021-01-31
Bronx,31,Ozone,3,2021-02-01
Bronx,27,Ozone,4,2021-02-02
