county,deaths,date
Albany,208,2021-01-01
Allegany,73,2021-01-01
Bronx,3548,2021-01-01
Broome,208,2021-01-01
Cattaraugus,44,2021-01-01
Cayuga,25,2021-01-01
Chautauqua,23,2021-01-01
Chemung,97,2021-01-01
Chenango,21,2021-01-01
Clinton,8,2021-01-01
Columbia,60,2021-01-01
Cortland,36,2021-01-01
Delaware,11,2021-01-01
Dutchess,240,2021-01-01
Erie,1219,2021-01-01
Essex,16,2021-01-01
Franklin,9,2021-01-01
Fulton,36,2021-01-01
Genesee,54,2021-01-01
Greene,25,2021-01-01
Hamilton,1,2021-01-01
Herkimer,28,2021-01-01
Jefferson,10,2021-01-01
Kings,5438,2021-01-01
Lewis,15,2021-01-01
Livingston,25,2021-01-01
Madison,66,2021-01-01
Manhattan,2260,2021-01-01
Monroe,587,2021-01-01
Montgomery,47,2021-01-01
Nassau,2409,2021-01-01
Niagara,185,2021-01-01
Non-NYS,155,2021-01-01
Oneida,255,2021-01-01
Onondaga,434,2021-01-01
Ontario,65,2021-01-01
Orange,515,2021-01-01
Orleans,64,2021-01-01
Oswego,41,2021-01-01
Otsego,16,2021-01-01
Putnam,67,2021-01-01
Queens,5397,2021-01-01
Rensselaer,83,2021-01-01
Richmond,896,2021-01-01
Rockland,589,2021-01-01
Saratoga,44,2021-01-01
Schenectady,87,2021-01-01
Schoharie,5,2021-01-01
Schuyler,10,2021-01-01
Seneca,36,2021-01-01
St. Lawrence,45,2021-01-01
Statewide Total,30337,2021-01-01
Steuben,120,2021-01-01
Suffolk,2328,2021-01-01
Sullivan,40,2021-01-01
Tioga,54,2021-01-01
Tompkins,15,2021-01-01
Ulster,145,2021-01-01
Warren,32,2021-01-01
Washington,16,2021-01-01
Wayne,39,2021-01-01
Westchester,1677,2021-01-01
Wyoming,24,2021-01-01
Yates,11,2021-01-01
Albany,212,2021-01-02
Allegany,73,2021-01-02
Bronx,3556,2021-01-02
Broome,210,2021-01-02
Cattaraugus,45,2021-01-02
Cayuga,27,2021-01-02
Chautauqua,25,2021-01-02
Chemung,97,2021-01-02
Chenango,23,2021-01-02
Clinton,8,2021-01-02
Columbia,61,2021-01-02
Cortland,38,2021-01-02
Delaware,12,2021-01-02
Dutchess,243,2021-01-02
Erie,1229,2021-01-02
Essex,16,2021-01-02
Franklin,9,2021-01-02
Fulton,37,2021-01-02
Genesee,56,2021-01-02
Greene,27,2021-01-02
Hamilton,1,2021-01-02
Herkimer,30,2021-01-02
Jefferson,11,2021-01-02
Kings,5451,2021-01-02
Lewis,15,2021-01-02
Livingston,25,2021-01-02
Madison,68,2021-01-02
Manhattan,2262,2021-01-02
Monroe,593,2021-01-02
Montgomery,51,2021-01-02
Nassau,2420,2021-01-02
Niagara,188,2021-01-02
Non-NYS,155,2021-01-02
Oneida,260,2021-01-02
Onondaga,439,2021-01-02
Ontario,66,2021-01-02
Orange,518,2021-01-02
Orleans,64,2021-01-02
Oswego,42,2021-01-02
Otsego,16,2021-01-02
Putnam,67,2021-01-02
Queens,5400,2021-01-02
Rensselaer,85,2021-01-02
Richmond,895,2021-01-02
Rockland,591,2021-01-02
Saratoga,48,2021-01-02
