"","county","aqi","pollutant","number_of_sites_reporting","date","deaths"
"1","Albany",34,"Ozone",2,2020-03-27,0
"2","Albany",37,"PM2.5",2,2020-03-28,0
"3","Albany",39,"Ozone",2,2020-03-29,0
"4","Albany",31,"Ozone",2,2020-03-30,0
"5","Albany",34,"Ozone",2,2020-03-31,0
"6","Albany",42,"Ozone",2,2020-04-01,0
"7","Albany",35,"Ozone",2,2020-04-02,0
"8","Albany",31,"Ozone",2,2020-04-03,0
"9","Albany",38,"Ozone",2,2020-04-04,6
"10","Albany",34,"Ozone",2,2020-04-05,6
"11","Albany",39,"Ozone",2,2020-04-06,6
"12","Albany",46,"Ozone",2,2020-04-07,6
"13","Albany",40,"Ozone",2,2020-04-08,7
"14","Albany",39,"Ozone",2,2020-04-09,8
"15","Albany",32,"Ozone",2,2020-04-10,9
"16","Albany",41,"Ozone",2,2020-04-11,9
"17","Albany",44,"Ozone",2,2020-04-12,10
"18","Albany",42,"Ozone",2,2020-04-13,13
"19","Albany",41,"Ozone",2,2020-04-14,15
"20","Albany",40,"Ozone",2,2020-04-15,16
"21","Albany",40,"Ozone",2,2020-04-18,17
"22","Albany",46,"Ozone",2,2020-04-19,19
"23","Albany",41,"Ozone",2,2020-04-20,20
"24","Albany",37,"Ozone",2,2020-04-21,20
"25","Albany",43,"Ozone",2,2020-04-22,23
"26","Albany",43,"Ozone",2,2020-04-23,23
"27","Albany",35,"Ozone",2,2020-04-24,23
"28","Albany",47,"Ozone",2,2020-04-25,25
"29","Albany",39,"Ozone",2,2020-04-26,26
"30","Albany",35,"Ozone",2,2020-04-27,26
"31","Albany",39,"Ozone",2,2020-04-28,27
"32","Albany",40,"Ozone",2,2020-04-29,31
"33","Albany",36,"Ozone",2,2020-04-30,33
"34","Albany",32,"Ozone",2,2020-05-01,35
"35","Albany",40,"Ozone",2,2020-05-02,36
"36","Albany",47,"Ozone",2,2020-05-03,39
"37","Albany",35,"Ozone",2,2020-05-04,42
"38","Albany",34,"Ozone",2,2020-05-05,45
"39","Albany",39,"Ozone",2,2020-05-06,68
"40","Albany",42,"Ozone",2,2020-05-07,69
"41","Albany",15,"PM2.5",2,2020-05-08,74
"42","Albany",8,"PM2.5",2,2020-05-09,74
"43","Albany",20,"PM2.5",2,2020-05-10,75
"44","Albany",35,"Ozone",2,2020-05-11,78
"45","Albany",38,"Ozone",2,2020-05-12,80
"46","Albany",37,"Ozone",2,2020-05-13,82
"47","Albany",46,"Ozone",2,2020-05-14,86
"48","Albany",44,"Ozone",2,2020-05-15,89
"49","Albany",37,"Ozone",2,2020-05-16,90
"50","Albany",41,"Ozone",2,2020-05-17,90
"51","Albany",35,"Ozone",2,2020-05-18,91
"52","Albany",40,"Ozone",2,2020-05-19,92
"53","Albany",41,"Ozone",2,2020-05-20,93
"54","Albany",48,"Ozone",2,2020-05-21,94
"55","Albany",41,"Ozone",2,2020-05-22,95
"56","Albany",44,"Ozone",2,2020-05-23,97
"57","Albany",40,"Ozone",2,2020-05-24,98
"58","Albany",32,"Ozone",2,2020-05-25,98
"59","Albany",49,"Ozone",2,2020-05-26,98
"60","Albany",47,"Ozone",2,2020-05-27,99
"61","Albany",25,"Ozone",2,2020-05-28,99
"62","Albany",34,"Ozone",2,2020-05-29,99
"63","Albany",41,"PM2.5",2,2020-05-30,99
"64","Albany",29,"Ozone",2,2020-05-31,100
"65","Albany",32,"Ozone",2,2020-06-01,100
"66","Albany",52,"PM2.5",2,2020-06-02,100
"67","Albany",67,"PM2.5",2,2020-06-03,100
"68","Albany",53,"PM2.5",2,2020-06-04,100
"69","Albany",45,"PM2.5",2,2020-06-05,101
"70","Albany",46,"Ozone",2,2020-06-06,101
"71","Albany",28,"Ozone",2,2020-06-07,101
"72","Albany",26,"Ozone",2,2020-06-08,101
"73","Albany",44,"Ozone",2,2020-06-09,102
"74","Albany",49,"Ozone",2,2020-06-10,103
"75","Albany",36,"Ozone",2,2020-06-11,103
"76","Albany",37,"Ozone",2,2020-06-12,104
"77","Albany",24,"Ozone",2,2020-06-13,105
"78","Albany",28,"PM2.5",2,2020-06-14,106
"79","Albany",38,"Ozone",2,2020-06-15,107
"80","Albany",39,"PM2.5",2,2020-06-16,108
"81","Albany",67,"Ozone",2,2020-06-17,108
"82","Albany",29,"Ozone",2,2020-06-18,108
"83","Albany",43,"Ozone",2,2020-06-19,108
"84","Albany",44,"Ozone",2,2020-06-20,108
"85","Albany",44,"Ozone",2,2020-06-21,108
"86","Albany",44,"Ozone",2,2020-06-22,108
"87","Albany",71,"Ozone",2,2020-06-23,108
"88","Albany",38,"Ozone",2,2020-06-24,108
"89","Albany",38,"Ozone",2,2020-06-25,108
"90","Albany",40,"Ozone",2,2020-06-26,108
"91","Albany",44,"PM2.5",2,2020-06-27,108
"92","Albany",38,"PM2.5",2,2020-06-28,108
"93","Albany",36,"PM2.5",2,2020-06-29,108
"94","Albany",38,"Ozone",2,2020-06-30,109
"95","Albany",31,"Ozone",2,2020-07-01,109
"96","Albany",40,"PM2.5",2,2020-07-02,109
"97","Albany",52,"PM2.5",2,2020-07-03,109
"98","Albany",75,"PM2.5",2,2020-07-04,109
"99","Albany",68,"PM2.5",2,2020-07-05,109
"100","Albany",41,"PM2.5",2,2020-07-06,109
"101","Albany",45,"Ozone",2,2020-07-07,109
"102","Albany",47,"PM2.5",2,2020-07-08,109
"103","Albany",52,"PM2.5",2,2020-07-09,109
"104","Albany",30,"PM2.5",2,2020-07-10,109
"105","Albany",41,"Ozone",2,2020-07-11,109
"106","Albany",29,"Ozone",2,2020-07-12,109
"107","Albany",35,"PM2.5",2,2020-07-13,109
"108","Albany",28,"PM2.5",2,2020-07-14,109
"109","Albany",43,"Ozone",2,2020-07-15,109
"110","Albany",31,"Ozone",2,2020-07-16,110
"111","Albany",37,"Ozone",2,2020-07-17,110
"112","Albany",45,"Ozone",2,2020-07-18,110
"113","Albany",54,"PM2.5",2,2020-07-19,110
"114","Albany",38,"Ozone",2,2020-07-20,111
"115","Albany",32,"Ozone",2,2020-07-21,112
"116","Albany",38,"Ozone",2,2020-07-22,112
"117","Albany",34,"Ozone",2,2020-07-23,112
"118","Albany",40,"PM2.5",2,2020-07-24,112
"119","Albany",43,"PM2.5",2,2020-07-25,112
"120","Albany",43,"PM2.5",2,2020-07-26,112
"121","Albany",45,"PM2.5",2,2020-07-27,113
"122","Albany",28,"Ozone",2,2020-07-28,114
"123","Albany",38,"Ozone",2,2020-07-29,115
"124","Albany",38,"Ozone",2,2020-07-30,115
"125","Albany",30,"Ozone",2,2020-07-31,116
"126","Albany",36,"Ozone",2,2020-08-01,116
"127","Albany",40,"PM2.5",2,2020-08-02,116
"128","Albany",34,"Ozone",2,2020-08-03,116
"129","Albany",25,"PM2.5",2,2020-08-04,116
"130","Albany",32,"Ozone",2,2020-08-05,116
"131","Albany",36,"Ozone",2,2020-08-06,116
"132","Albany",43,"PM2.5",2,2020-08-07,116
"133","Albany",52,"PM2.5",2,2020-08-08,116
"134","Albany",48,"PM2.5",2,2020-08-09,116
"135","Albany",50,"PM2.5",2,2020-08-10,117
"136","Albany",50,"Ozone",2,2020-08-11,117
"137","Albany",38,"Ozone",2,2020-08-12,118
"138","Albany",43,"PM2.5",2,2020-08-13,118
"139","Albany",51,"PM2.5",2,2020-08-14,118
"140","Albany",38,"PM2.5",2,2020-08-15,118
"141","Albany",45,"PM2.5",2,2020-08-16,119
"142","Albany",41,"PM2.5",2,2020-08-17,119
"143","Albany",31,"PM2.5",2,2020-08-18,119
"144","Albany",26,"PM2.5",2,2020-08-19,120
"145","Albany",31,"Ozone",2,2020-08-20,120
"146","Albany",44,"Ozone",2,2020-08-21,120
"147","Albany",47,"PM2.5",2,2020-08-22,120
"148","Albany",54,"PM2.5",2,2020-08-23,120
"149","Albany",53,"PM2.5",2,2020-08-24,120
"150","Albany",45,"PM2.5",2,2020-08-25,120
"151","Albany",28,"Ozone",2,2020-08-26,121
"152","Albany",30,"PM2.5",2,2020-08-27,121
"153","Albany",38,"PM2.5",2,2020-08-28,122
"154","Albany",30,"PM2.5",2,2020-08-29,122
"155","Albany",24,"Ozone",2,2020-08-30,122
"156","Albany",25,"Ozone",2,2020-08-31,122
"157","Albany",27,"Ozone",2,2020-09-01,122
"158","Albany",25,"PM2.5",2,2020-09-02,122
"159","Albany",31,"Ozone",2,2020-09-03,122
"160","Albany",30,"Ozone",2,2020-09-04,122
"161","Albany",30,"Ozone",2,2020-09-05,122
"162","Albany",37,"PM2.5",2,2020-09-06,122
"163","Albany",43,"Ozone",2,2020-09-07,122
"164","Albany",42,"Ozone",2,2020-09-08,122
"165","Albany",42,"PM2.5",2,2020-09-09,122
"166","Albany",46,"PM2.5",2,2020-09-10,122
"167","Albany",27,"Ozone",2,2020-09-11,123
"168","Albany",28,"PM2.5",2,2020-09-12,123
"169","Albany",32,"Ozone",2,2020-09-13,123
"170","Albany",21,"Ozone",2,2020-09-14,123
"171","Albany",21,"Ozone",2,2020-09-15,123
"172","Albany",35,"Ozone",2,2020-09-16,123
"173","Albany",45,"PM2.5",2,2020-09-17,123
"174","Albany",29,"Ozone",2,2020-09-18,123
"175","Albany",26,"Ozone",2,2020-09-19,123
"176","Albany",29,"PM2.5",2,2020-09-20,123
"177","Albany",41,"PM2.5",2,2020-09-21,123
"178","Albany",43,"PM2.5",2,2020-09-22,123
"179","Albany",59,"PM2.5",2,2020-09-23,123
"180","Albany",71,"PM2.5",2,2020-09-24,123
"181","Albany",68,"PM2.5",2,2020-09-25,123
"182","Albany",66,"PM2.5",2,2020-09-26,123
"183","Albany",31,"Ozone",2,2020-09-27,123
"184","Albany",34,"Ozone",2,2020-09-28,123
"185","Albany",32,"PM2.5",2,2020-09-29,123
"186","Albany",27,"Ozone",2,2020-09-30,123
"187","Albany",35,"PM2.5",2,2020-10-01,123
"188","Albany",50,"PM2.5",2,2020-10-02,123
"189","Albany",39,"PM2.5",2,2020-10-03,123
"190","Albany",53,"PM2.5",2,2020-10-04,123
"191","Albany",55,"PM2.5",2,2020-10-05,123
"192","Albany",56,"PM2.5",2,2020-10-06,123
"193","Albany",42,"PM2.5",2,2020-10-07,123
"194","Albany",23,"Ozone",2,2020-10-08,123
"195","Albany",30,"Ozone",2,2020-10-09,124
"196","Albany",42,"PM2.5",2,2020-10-10,124
"197","Albany",22,"Ozone",2,2020-10-11,124
"198","Albany",25,"Ozone",2,2020-10-12,124
"199","Albany",22,"Ozone",2,2020-10-13,124
"200","Albany",37,"PM2.5",2,2020-10-14,124
